"","AAPL","IBM","GOOGL","MSFT"
"2018-04-09",170.050003,152.690002,1020.090027,90.769997
"2018-04-10",173.25,155.389999,1036.5,92.879997
"2018-04-11",172.440002,155.360001,1025.060059,91.860001
"2018-04-12",174.139999,158.070007,1037.290039,93.580002
"2018-04-13",174.729996,156.710007,1036.040039,93.080002
"2018-04-16",175.820007,157.889999,1046.099976,94.169998
"2018-04-17",178.240005,160.910004,1079.359985,96.07
"2018-04-18",177.839996,148.789993,1075.390015,96.440002
"2018-04-19",172.800003,147.699997,1089.449951,96.110001
"2018-04-20",165.720001,144.899994,1077.319946,95
"2018-04-23",165.240005,145.860001,1073.810059,95.349998
"2018-04-24",162.940002,145.559998,1022.640015,93.120003
"2018-04-25",163.649994,145.940002,1022.98999,92.309998
"2018-04-26",164.220001,146.720001,1043.310059,94.260002
"2018-04-27",162.320007,146.479996,1031.449951,95.82
"2018-04-30",165.259995,144.960007,1018.580017,93.519997
"2018-05-01",169.100006,145,1040.75,95
"2018-05-02",176.570007,142.449997,1026.050049,93.510002
"2018-05-03",176.889999,141.990005,1026.300049,94.07
"2018-05-04",183.830002,143.910004,1051,95.160004
"2018-05-07",185.160004,143.220001,1059.459961,96.220001
"2018-05-08",186.050003,143,1058.589966,95.809998
"2018-05-09",187.360001,142.610001,1088.949951,96.940002
"2018-05-10",190.039993,144.240005,1105.469971,97.910004
"2018-05-11",188.589996,144.139999,1103.380005,97.699997
"2018-05-14",188.149994,144.300003,1106.599976,98.029999
"2018-05-15",186.440002,143.740005,1084.869995,97.32
"2018-05-16",188.179993,144.630005,1084.089966,97.150002
"2018-05-17",186.990005,144.5,1081.26001,96.18
"2018-05-18",186.309998,144.080002,1069.640015,96.360001
"2018-05-21",187.630005,145.490005,1084.01001,97.599998
"2018-05-22",187.160004,145.089996,1075.310059,97.5
"2018-05-23",188.360001,144.669998,1085.959961,98.660004
"2018-05-24",188.149994,144.070007,1085.449951,98.309998
"2018-05-25",188.580002,143.639999,1084.079956,98.360001
"2018-05-29",187.899994,141.220001,1068.069946,98.010002
"2018-05-30",187.5,142.619995,1077.469971,98.949997
"2018-05-31",186.869995,141.309998,1100,98.839996
"2018-06-01",190.240005,141.949997,1135,100.790001
"2018-06-04",191.830002,143.039993,1153.040039,101.669998
"2018-06-05",193.309998,143.699997,1151.02002,102.190002
"2018-06-06",193.979996,144.710007,1146.949951,102.489998
"2018-06-07",193.460007,145.360001,1134.420044,100.879997
"2018-06-08",191.699997,146.139999,1132.709961,101.629997
"2018-06-11",191.229996,146.580002,1140.900024,101.050003
"2018-06-12",192.279999,146.869995,1148.189941,101.309998
"2018-06-13",190.699997,146.350006,1144.22998,100.849998
"2018-06-14",190.800003,145.199997,1160.109985,101.419998
